Player,Games Played,MIN,FGM,FGA,FG_PCT,3PM,3PA,3Per,FTM,FTA,FTPer,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Age,Season
Pat Connaughton,34,4.2,0.4,1.4,0.265,0.1,0.6,0.238,0.1,0.1,1,0.3,0.6,0.9,0.3,0.1,0,0.3,0.2,23,2015
Chris Copeland,24,6.5,0.7,2.1,0.333,0.4,1.5,0.278,0.3,0.3,0.857,0,0.4,0.4,0.5,0.1,0,0.3,0.7,31,2015
Bryce Cotton,8,4.9,0.5,1.3,0.4,0,0.4,0,0,0,,0,0,0,0.4,0.4,0,0.6,0.3,23,2015
Bryce Cotton,3,11,0.7,2.7,0.25,0,1,0,0,0,,0,0,0,1,1,0,1.7,0.7,23,2015
Bryce Cotton,5,1.2,0.4,0.4,1,0,0,,0,0,,0,0,0,0,0,0,0,0,23,2015
DeMarcus Cousins,65,34.6,9.2,20.5,0.451,1.1,3.2,0.333,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,25,2015
Robert Covington,67,28.4,4.1,10.6,0.385,2.5,7.2,0.353,2.1,2.6,0.791,1,5.3,6.3,1.4,1.6,0.6,2.1,3.5,25,2015
Allen Crabbe,81,26,3.8,8.4,0.459,1.4,3.5,0.393,1.2,1.4,0.867,0.3,2.3,2.7,1.2,0.8,0.2,0.8,2.4,23,2015
Jamal Crawford,79,26.9,4.8,11.9,0.404,1.5,4.4,0.34,3.1,3.4,0.904,0.3,1.6,1.8,2.3,0.7,0.2,1.4,1.5,35,2015
Jae Crowder,73,31.6,4.9,11.1,0.443,1.7,5,0.336,2.7,3.3,0.82,1,4.2,5.1,1.8,1.7,0.5,1.1,2.7,25,2015
Dante Cunningham,80,24.6,2.3,5.2,0.451,0.7,2.2,0.316,0.7,1,0.695,0.7,2.2,3,1,0.5,0.4,0.5,2.2,28,2015
Jared Cunningham,44,9.3,0.8,2.4,0.343,0.3,0.9,0.308,0.8,1.3,0.655,0.1,0.8,0.9,0.5,0.3,0,0.5,0.9,24,2015
Jared Cunningham,40,8.9,0.8,2.3,0.352,0.3,0.8,0.313,0.8,1.2,0.625,0.1,0.7,0.7,0.5,0.3,0.1,0.5,0.9,24,2015
Jared Cunningham,4,13.8,1,3.5,0.286,0.5,1.8,0.286,1.5,1.8,0.857,0,2.3,2.3,0.3,0.5,0,0.8,1,24,2015
Seth Curry,44,15.7,2.3,5.1,0.455,1.1,2.5,0.45,1,1.2,0.833,0.2,1.2,1.4,1.5,0.5,0.1,0.8,0.9,25,2015
Stephen Curry,79,34.2,10.2,20.2,0.504,5.1,11.2,0.454,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2,27,2015
Troy Daniels,43,11.1,2.1,4.3,0.476,1.4,2.8,0.484,0.1,0.2,0.556,0.2,1.2,1.3,0.5,0.3,0.1,0.6,0.9,24,2015
Anthony Davis,61,35.5,9.2,18.6,0.493,0.6,1.8,0.324,5.3,7,0.758,2.1,8.1,10.3,1.9,1.3,2,2,2.4,22,2015
